version,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_Uniform,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,GerryChain_MST,DirectPartition_Walk_Single,DirectPartition_Walk_Single,DirectPartition_Walk_Single,DirectPartition_Walk_Single,DirectPartition_Walk_Single,DirectPartition_Walk_Single,DirectPartition_Walk_Single,DirectPartition_Walk_Single,DirectPartition_Walk_Single,DirectPartition_Walk_Single,DirectPartition_Walk_Single
n_size,256,1296,2500,3600,4624,5776,6724,7744,8836,10000,250000,256,1296,2500,3600,4624,5776,6724,7744,8836,10000,250000,256,1296,2500,3600,4624,5776,6724,7744,8836,10000,250000
run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.001896999999999982,0.013319999999999999,0.018974000000000046,0.023438999999999766,0.025830000000002684,0.030528000000000333,0.06172499999999559,0.05687000000000353,0.058441000000001964,0.06647399999999948,1.6500740000000178,0.0022649999999999615,0.009595999999999938,0.01968900000000051,0.030182999999999183,0.03484900000000124,0.04799700000000229,0.05202899999999744,0.06213800000000447,0.06816100000000347,0.0787430000000029,2.5890940000000455,0.002898999999999985,0.012866999999999962,0.01639100000000049,0.03832399999999936,0.0246069999999996,0.03646599999999722,0.03761800000000193,0.06946399999999642,0.13783099999999138,0.08107700000000762,2.4489189999999326
1,0.0014080000000000203,0.00869399999999998,0.016135999999999484,0.031008999999999176,0.023818000000002115,0.0542560000000023,0.04571599999999876,0.047001000000001625,0.04987299999999095,0.05606000000000222,1.5524959999999055,0.0018650000000000055,0.009191999999999867,0.019716999999999985,0.030056999999999334,0.034915000000001584,0.04548399999999475,0.05305399999999594,0.0686019999999985,0.06698500000000251,0.08020799999999895,2.5983870000000024,0.0007559999999999789,0.013665000000000038,0.028046999999999933,0.023861999999999384,0.04920800000000014,0.061413000000001716,0.10770199999999619,0.05613599999999508,0.10571899999999346,0.09212600000000748,0.726071999999931
2,0.0011490000000000111,0.009543999999999997,0.015736000000000416,0.02877999999999936,0.022500999999998328,0.029821000000001874,0.041720000000005086,0.050902999999998144,0.12204000000001258,0.05522100000000307,1.8566200000000208,0.0018660000000000343,0.009500000000000064,0.01949899999999971,0.026258000000000337,0.03441399999999817,0.04728200000000271,0.051300999999995156,0.06104699999998786,0.06771200000000022,0.0752040000000136,2.5857519999999568,0.0029839999999999867,0.02480799999999972,0.02755699999999983,0.02614699999999992,0.029019000000001682,0.03584400000000443,0.04326399999999353,0.07739999999999725,0.1033689999999865,0.09905399999999531,2.2658329999999296
3,0.0011099999999999999,0.008848999999999885,0.01951500000000017,0.020681000000001504,0.04931000000000196,0.03343699999999927,0.03746900000000153,0.07961099999999988,0.09433599999999842,0.04993199999999831,2.065994000000046,0.001747000000000054,0.009608999999999979,0.019562999999999775,0.027768000000000015,0.035689000000001414,0.0441590000000005,0.05155200000000093,0.05878300000000536,0.06832099999999741,0.07664499999999919,2.4606390000000147,0.0020559999999999468,0.019041000000000086,0.039844000000000435,0.030886000000000635,0.04600800000000049,0.016849000000000558,0.032581000000000415,0.05108799999999292,0.04555100000000323,0.035910999999998694,2.4200069999999414
4,0.0016519999999999868,0.005943000000000032,0.012357000000000617,0.038858999999998645,0.029289999999999594,0.05562100000000214,0.03428399999999954,0.05834999999999724,0.13069799999999532,0.08111599999999441,1.614074999999957,0.001731000000000038,0.009482999999999908,0.018136999999999404,0.026756000000000668,0.035959999999999326,0.04467400000000055,0.05146100000000331,0.058168999999992366,0.0652600000000092,0.07487299999999664,2.563192000000072,0.0021119999999998917,0.00836300000000012,0.024668000000000134,0.021003000000000327,0.04009300000000238,0.06487299999999863,0.09177400000000091,0.06255400000000577,0.07774200000000064,0.1348519999999951,1.9669799999999213
5,0.0012190000000000256,0.013595999999999941,0.018644000000000105,0.02624799999999894,0.036640000000002004,0.0330919999999999,0.04487699999999961,0.05196099999999859,0.1320659999999947,0.06412600000000168,3.005260000000021,0.001771000000000078,0.009414999999999951,0.018529000000000018,0.027312000000000225,0.03586999999999918,0.04387100000000288,0.05256400000000383,0.05810499999999763,0.0653209999999973,0.07848199999999395,2.5489209999999503,0.0018540000000000223,0.016213000000000033,0.03276500000000038,0.012582999999999345,0.04361399999999804,0.045368000000003406,0.041097000000000605,0.058104000000000156,0.045670999999998685,0.05163000000000295,3.391876999999795
6,0.0015330000000000066,0.008954000000000129,0.02167100000000044,0.022721000000000657,0.023210000000002395,0.0387100000000018,0.06332400000000149,0.040946999999995626,0.07408099999999251,0.09492500000000348,2.372519999999895,0.0018340000000000023,0.009192000000000089,0.018482999999999805,0.027029999999999887,0.035992000000000246,0.04533600000000604,0.0505940000000038,0.06000899999999376,0.06938499999999692,0.07614599999999427,2.5862229999999045,0.0021299999999999653,0.018930000000000113,0.029736999999999902,0.04503199999999907,0.02855000000000274,0.05261000000000138,0.05653800000000331,0.03949900000000639,0.09521399999999858,0.08857499999999163,5.389458999999988
7,0.0012510000000000021,0.006618000000000013,0.018469999999999764,0.023457999999999757,0.03086200000000261,0.0484410000000004,0.06781099999999896,0.12557999999999936,0.05534600000000012,0.08959799999999518,1.9696709999999484,0.0018099999999999783,0.009186999999999834,0.0184110000000004,0.027654000000000067,0.035441000000002276,0.04648999999999859,0.051814999999997724,0.05651000000000295,0.06831799999999077,0.08202200000000914,2.5679000000000087,0.0019300000000000983,0.0034800000000001496,0.019980999999999582,0.02628599999999892,0.021112999999999715,0.05866800000000438,0.035001999999998645,0.02051700000001233,0.07631200000000149,0.08950000000000102,3.8455430000001343
